voltage, time
0.22087,4.8428
0.22875,4.8513
0.22375,4.8599
0.21388,4.8684
0.22662,4.877
0.22887,4.8856
0.22237,4.8941
0.23212,4.9027
0.22575,4.9112
0.2115,4.9198
0.2105,4.9283
0.23025,4.9369
0.22387,4.9455
0.23062,4.954
0.23375,4.9626
0.209,4.9711
0.21313,4.9797
0.21425,4.9882
0.21113,4.9968
0.23162,5.0053
0.23237,5.0139
0.22525,5.0225
0.21887,5.031
0.21613,5.0396
0.22262,5.0481
0.20738,5.0567
0.21975,5.0652
0.20875,5.0738
0.20713,5.0824
0.21863,5.0909
0.21213,5.0995
0.2125,5.108
0.22237,5.1166
0.19975,5.1251
0.22212,5.1337
0.20813,5.1422
0.21363,5.1508
0.21962,5.1594
0.22512,5.1679
0.2245,5.1765
0.2185,5.185
0.21763,5.1936
0.22487,5.2021
0.20788,5.2107
0.20813,5.2193
0.21325,5.2278
0.21962,5.2364
0.2025,5.2449
0.211,5.2535
0.20475,5.262
0.20275,5.2706
0.20212,5.2791
0.21225,5.2877
0.21463,5.2963
0.21025,5.3048
0.2075,5.3134
0.20563,5.3219
0.21025,5.3305
0.21625,5.339
0.2085,5.3476
0.2045,5.3561
0.19987,5.3647
0.20425,5.3733
0.21038,5.3818
0.21987,5.3904
0.2065,5.3989
0.20425,5.4075
0.20225,5.416
0.20438,5.4246
0.20688,5.4332
0.21575,5.4417
0.20463,5.4503
0.21638,5.4588
0.21825,5.4674
0.21925,5.4759
0.20037,5.4845
0.19912,5.493
0.19662,5.5016
0.19737,5.5102
0.19837,5.5187
0.20513,5.5273
0.21213,5.5358
0.20975,5.5444
0.20575,5.5529
0.204,5.5615
0.19575,5.5701
0.20025,5.5786
0.21125,5.5872
0.21575,5.5957
0.20963,5.6043
0.20037,5.6128
0.2015,5.6214
0.19637,5.6299
0.20025,5.6385
0.199,5.6471
0.19775,5.6556
0.20225,5.6642
0.2005,5.6727
0.21038,5.6813
0.2,5.6898
0.20638,5.6984
0.212,5.707
0.20713,5.7155
0.199,5.7241
0.20913,5.7326
0.19725,5.7412
0.19375,5.7497
0.19925,5.7583
0.20638,5.7668
0.19787,5.7754
0.20413,5.784
0.20875,5.7925
0.20688,5.8011
0.19237,5.8096
0.19512,5.8182
0.20875,5.8267
0.20575,5.8353
0.20688,5.8439
0.204,5.8524
0.2105,5.861
0.20513,5.8695
0.21175,5.8781
0.21075,5.8866
0.19662,5.8952
0.19675,5.9037
0.20625,5.9123
0.21138,5.9209
0.19337,5.9294
0.20325,5.938
0.20525,5.9465
0.21388,5.9551
0.20913,5.9636
0.214,5.9722
0.21213,5.9807
0.20838,5.9893
0.20713,5.9979
0.2005,6.0064
0.19762,6.015
0.19862,6.0235
0.21138,6.0321
0.21325,6.0406
0.21163,6.0492
0.20763,6.0578
0.212,6.0663
0.20688,6.0749
0.2035,6.0834
0.21375,6.092
0.19825,6.1005
0.1995,6.1091
0.19725,6.1176
0.199,6.1262
0.20538,6.1348
0.20262,6.1433
0.20763,6.1519
0.21113,6.1604
0.198,6.169
0.1955,6.1775
0.20938,6.1861
0.20375,6.1947
0.20262,6.2032
0.19887,6.2118
0.21325,6.2203
0.212,6.2289
0.20588,6.2374
0.21163,6.246
0.2095,6.2545
0.21238,6.2631
0.19912,6.2717
0.20738,6.2802
0.20975,6.2888
0.21175,6.2973
0.19612,6.3059
0.20175,6.3144
0.20388,6.323
0.21188,6.3316
